"name"	"formals"	"inherited_from_0_4"
"create_model_contract"	"family=<MISSING>; outcome_col=<MISSING>; participant_col=<MISSING>; item_col=NULL; trial_col=NULL; condition_col=NULL; time_col=NULL; predictors=character(); interaction=NULL; random_slope=FALSE; outcome_unit=NULL; notes=character()"	TRUE
"create_model_evidence_report"	"evidence=<MISSING>; file=<MISSING>; overwrite=FALSE"	TRUE
"create_model_specification"	"contract=<MISSING>; audit=<MISSING>; priors=<MISSING>"	TRUE
"create_prediction_contrast_profile"	"fit=<MISSING>; variable=<MISSING>; contrast_variable=<MISSING>; contrast_levels=NULL; values=NULL; n=40L; at=list(); measure=c(""difference"", ""ratio"", ""odds_ratio""); include_group_effects=FALSE; ndraws=NULL; probs=c(0.025, 0.5, 0.975)"	TRUE
"create_prediction_grid"	"x=<MISSING>; variables=NULL; at=list(); numeric_at=c(""median"", ""mean""); max_rows=5000L"	TRUE
"create_prediction_profile"	"fit=<MISSING>; variable=<MISSING>; values=NULL; n=50L; at=list(); type=c(""expected"", ""predictive"", ""linear"", ""median""); include_group_effects=FALSE; allow_new_levels=FALSE; ndraws=NULL; probs=c(0.025, 0.5, 0.975); seed=1L"	TRUE
"create_prediction_surface"	"fit=<MISSING>; x=<MISSING>; y=<MISSING>; x_values=NULL; y_values=NULL; n=30L; at=list(); type=c(""expected"", ""predictive"", ""linear"", ""median""); include_group_effects=FALSE; allow_new_levels=FALSE; ndraws=NULL; probs=c(0.025, 0.5, 0.975); seed=1L; max_rows=2500L"	TRUE
"create_predictive_distribution_atlas"	"fit=<MISSING>; ndraws=500L; include_group_effects=TRUE; seed=1L"	TRUE
"create_predictor_scaling_sensitivity_specification"	"specification=<MISSING>; predictor=<MISSING>; scale_factor=<MISSING>; coefficient_scale=<MISSING>; interaction_scale=NULL"	TRUE
"create_prior_specification"	"contract=<MISSING>; baseline=NULL; intercept_scale=NULL; coefficient_scale=NULL; group_sd_scale=1; residual_scale=NULL; correlation_eta=2; student_df=3"	TRUE
"create_publication_registry"	"label=NULL"	TRUE
"create_publication_table_set"	"x=<MISSING>"	TRUE
"create_pupil_advanced_sensitivity_suite"	"specification=<MISSING>; include=c(""likelihood"", ""residual_scale"", ""autocorrelation"", ""temporal"", ""gp_kernel"")"	FALSE
"create_pupil_arma_spec"	"p=1L; q=0L; covariance=FALSE"	FALSE
"create_pupil_contract"	"outcome_col=<MISSING>; participant_col=<MISSING>; trial_col=<MISSING>; time_col=<MISSING>; pupil_unit=<MISSING>; sampling_frequency=<MISSING>; time_unit=c(""seconds"", ""milliseconds""); item_col=NULL; condition_col=NULL; timestamp_col=NULL; eye=c(""unknown"", ""left"", ""right"", ""combined""); left_pupil_col=NULL; right_pupil_col=NULL; channel_audit_unit=NULL; validity_col=NULL; interpolation_col=NULL; blink_col=NULL; gaze_x_col=NULL; gaze_y_col=NULL; luminance_col=NULL; contrast_col=NULL; screen_width=NA_real_; screen_height=NA_real_; baseline_window=NULL; baseline_method=c(""unknown"", ""none"", ""subtract"", ""divide"", ""proportion_change"", ""percent_change""); baseline_applied=FALSE; pfe_corrected=FALSE; pfe_method=NULL; source_vendor=NA_character_; device_model=NA_character_; preprocessing_provenance=NA_character_; upstream_package=NA_character_; upstream_version=NA_character_; notes=character()"	TRUE
"create_pupil_gp_spec"	"kernel=c(""matern32"", ""matern52"", ""exp_quad""); basis=c(""approximate"", ""exact""); k=30L; scale=TRUE"	FALSE
"create_pupil_lfo_plan"	"fit=<MISSING>; initial_fraction=0.6; horizon=5L; step=5L; max_refits=8L"	FALSE
"create_pupil_measurement_model"	"baseline_error=NULL; luminance_error=NULL; gaze_error=NULL; response_error=NULL; covariate_errors=NULL"	FALSE
"create_pupil_missingness_spec"	"response=c(""exclude"", ""model""); predictors=character(); assumptions=""MAR""; auxiliary_predictors=character()"	FALSE
"create_pupil_model_set"	"...=<MISSING>; predictive_target=c(""new_trial_known_participant"", ""new_participant"", ""future_segment"", ""new_sample_known_trial"")"	FALSE
"create_pupil_sensitivity_suite"	"specification=<MISSING>; baseline_windows=list(); baseline_window_operation=NULL; baseline_operations=character(); interpolation_policy=character(); blink_adjacent_margins=numeric(); gaze_adjustment=character(); luminance_adjustment=character(); pfe_prepared=list(); smooth_basis_dimensions=integer(); autocorrelation=character(); analysis_windows=list()"	TRUE
"create_pupil_validation_plan"	"x=<MISSING>; target=c(""new_trial_known_participant"", ""new_participant"", ""future_segment"", ""new_sample_known_trial""); K=5L; future_fraction=0.2; seed=2026"	TRUE
"create_random_slope_sensitivity_plan"	"specification=<MISSING>"	TRUE
"create_reporting_checklist"	"x=<MISSING>"	TRUE
"create_sensitivity_suite_plan"	"prior_scale=FALSE; powerscale=FALSE; psis_loo=FALSE; random_slope_plan=NULL; group_deletion_plan=NULL; alternative_estimands=list(); duration_unit=NULL; prior_scale_args=list(); powerscale_args=list(); psis_args=list(); random_slope_args=list(); group_deletion_args=list()"	TRUE
"create_transformation_recipe"	"prepared=<MISSING>"	TRUE
"design_support_table"	"x=<MISSING>"	TRUE
"detect_binary_separation"	"x=<MISSING>; formula=NULL; data=NULL"	TRUE
"diagnose_advanced_pupil_fit"	"fit=<MISSING>; rhat_threshold=1.01; ess_threshold=400"	FALSE
"diagnose_binary_fit"	"fit=<MISSING>; rhat_pass=1.01; rhat_fail=1.05; ess_per_chain_pass=100; ess_per_chain_fail=50; maximum_treedepth_fraction=0.01; ebfmi_pass=0.3; ebfmi_fail=0.2"	TRUE
"diagnose_duration_fit"	"fit=<MISSING>; rhat_pass=1.01; rhat_fail=1.05; ess_per_chain_pass=100; ess_per_chain_fail=50; maximum_treedepth_fraction=0.01; ebfmi_pass=0.3; ebfmi_fail=0.2"	TRUE
"diagnose_model_fit"	"fit=<MISSING>; ...=<MISSING>"	TRUE
"diagnose_pupil_fit"	"fit=<MISSING>; ndraws=200L; max_lag=10L; max_cells=3000000L"	TRUE
"diagnostic_dashboard_table"	"x=<MISSING>"	TRUE
"duration_pit_table"	"x=<MISSING>"	TRUE
